FOODID;FOODNAME;LANG
100;SECALE CEREALE;TX
103;SECALE CEREALE;TX
110;TRITICUM SPP.;TX
111;TRITICUM SPP.;TX
112;TRITICUM SPP.;TX
113;TRITICUM SPP.;TX
114;TRITICUM SPP.;TX
115;TRITICUM SPP.;TX
116;TRITICUM SPP.;TX
124;TRITICUM SPP.;TX
142;TRITICUM SPP.;TX
150;HORDEUM VULGARE;TX
151;HORDEUM VULGARE;TX
152;HORDEUM VULGARE;TX
153;AVENA SATIVA;TX
156;ORYZA SATIVA;TX
158;ORYZA SATIVA;TX
160;PANICUM MILIACEUM;TX
161;FAGOPYRUM ESCULENTUM;TX
162;SOLANUM TUBEROSUM;TX
167;ZEA MAYS;TX
170;AVENA SATIVA;TX
175;TRITICUM SPP.;TX
176;SECALE CEREALE;TX
182;ORYZA SATIVA;TX
183;ORYZA SATIVA;TX
202;SOLANUM TUBEROSUM;TX
204;SOLANUM TUBEROSUM;TX
205;SOLANUM TUBEROSUM;TX
207;SOLANUM TUBEROSUM;TX
300;DAUCUS CAROTA;TX
302;DAUCUS CAROTA;TX
303;BRASSICA NAPUS VAR. NAPOBRASSICA;TX
304;BRASSICA RAPA;TX
305;BETA VULGARIS;TX
307;BETA VULGARIS;TX
308;RAPHANUS SATIVUS VAR. SATIVUS;TX
309;PASTINACA SATIVA;TX
310;HELIANTHUS TUBEROSUS;TX
311;APIUM GRAVEOLENS VAR. RAPACEUM;TX
312;SCORZONERA HISPANICA;TX
320;BRASSICA OLERACEA VAR. CAPITATA F. ALBA;TX
321;BRASSICA OLERACEA VAR. CAPITATA "F. RUBRA";TX
322;BRASSICA OLERACEA VAR. BOTRYTIS;TX
324;BRASSICA OLERACEA VAR. ITALICA;TX
326;BRASSICA OLERACEA VAR. SABELLICA;TX
327;BRASSICA OLERACEA VAR. GEMMIFERA;TX
329;BRASSICA OLERACEA VAR. GONGYLODES;TX
330;LACTUCA SATIVA VAR. CRISPA;TX
331;LACTUCA SATIVA VAR. CAPITATA;TX
333;PETROSELINUM CRISPUM;TX
334;URTICA DIOICA;TX
335;ALLIUM CEPA;TX
336;ALLIUM CEPA;TX
337;ALLIUM PORRUM;TX
338;RHEUM;TX
339;APIUM GRAVEOLENS;TX
340;ASPARAGUS OFFICINALIS L.;TX
342;BOLETUS EDULIS, RUSSULA PALUDOSA;TX
343;LACTARIUS (TRIVIALIS/RUFUS/TORMINUSUS);TX
345;AGARICUS BISPORUS;TX
346;CUCUMIS SATIVUS;TX
347;CUCUMIS SATIVUS;TX
348;CUCUMIS SATIVUS;TX
350;CUCURBITA PEPO;TX
351;CUCURBITA PEPO;TX
352;LYCOPERSICON ESCULENTUM;TX
355;CAPSICUM ANNUUM;TX
359;BRASSICA PEKINENSIS;TX
360;BETA VULGARIS VAR. VULGARIS;TX
362;SOLANUM MELONGENA;TX
363;ZEA MAYS;TX
364;LEPIDIUM SATIVUM;TX
